rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
81,38.03250000000206,-1.3175000000000725,0.2919265329837799,0.5156699451141749,0.1090923547744751,3832.7496643066406,852,127.8,30.98181818181818,239.62499999999997,AC three-phase mini-grid,4260000
82,40.74750000000345,2.2074999999998526,0.2412323206663131,0.7152840702272282,0.1097950488328933,619.9043622016907,138,20.7,5.018181818181818,38.81249999999999,AC three-phase mini-grid,690000
83,39.70750000000292,1.8824999999998595,0.1680133789777755,0.5724264485810558,0.1105443760752677,719.9116630554199,160,24.0,5.818181818181818,45.0,AC three-phase mini-grid,800000
84,37.05750000000156,3.327499999999828,0.1430201679468155,0.6272969131339122,0.1106940433382988,714.6675589084625,159,23.849999999999998,5.781818181818181,44.71874999999999,AC three-phase mini-grid,795000
85,37.50750000000179,-2.792500000000041,0.3295991718769073,0.675551693020273,0.1110332906246185,632.1122245788574,140,21.0,5.090909090909091,39.375,AC three-phase mini-grid,700000
86,40.15750000000315,-1.617500000000066,0.3014151453971863,0.538190256427566,0.1119152829051017,1864.0205383300781,414,62.099999999999994,15.054545454545453,116.43749999999999,AC three-phase mini-grid,2070000
87,38.05750000000207,-2.467500000000048,0.3122242093086242,0.7641478385084394,0.1125424057245254,1683.6199226379395,374,56.1,13.6,105.1875,AC three-phase mini-grid,1870000
88,38.98250000000255,-4.1925000000000106,0.2411192506551742,0.604470610522985,0.1126106530427932,330.60482692718506,73,10.95,2.6545454545454543,20.531249999999996,AC three-phase mini-grid,365000
89,38.632500000002366,-3.6925000000000217,0.2787917256355285,0.6216493213476759,0.1130735874176025,1369.8688297271729,304,45.6,11.054545454545455,85.5,AC three-phase mini-grid,1520000
90,35.88250000000096,-2.0175000000000574,0.1591161638498306,0.7907792841782495,0.1140766590833664,141.00399589538574,31,4.6499999999999995,1.1272727272727272,8.718749999999998,DC cluster,155000
91,35.45750000000074,2.5324999999998457,0.3192754089832306,0.5226352996221739,0.1142769604921341,1072.3070316314697,238,35.699999999999996,8.654545454545454,66.93749999999999,AC three-phase mini-grid,1190000
92,40.27750000000321,0.1924999999998956,0.2988748252391815,0.6338227618739303,0.1145644634962081,29073.43701171875,6461,969.15,234.94545454545454,1817.1562499999998,AC three-phase mini-grid,32305000
93,40.70750000000343,-2.3425000000000504,0.2633949816226959,0.6936956402106895,0.115763708949089,1461.764389038086,325,48.75,11.818181818181818,91.40625,AC three-phase mini-grid,1625000
94,40.98250000000357,0.4174999999998908,0.3075133562088012,0.4607500774571615,0.1169485822319984,2193.068515777588,487,73.05,17.709090909090907,136.96874999999997,AC three-phase mini-grid,2435000
95,37.70250000000189,-3.0425000000000355,0.3027413189411163,0.679381098313816,0.1173932999372482,1557.7187452316284,346,51.9,12.581818181818182,97.31249999999999,AC three-phase mini-grid,1730000
96,40.18250000000316,2.282499999999851,0.3478592038154602,0.7125418463318761,0.1181699335575103,1272.1950607299805,283,42.449999999999996,10.29090909090909,79.59374999999999,AC three-phase mini-grid,1415000
97,38.00750000000205,3.70749999999982,0.0846406891942024,0.5535547478602739,0.1185145676136016,151.04447495937347,34,5.1,1.2363636363636363,9.562499999999998,DC cluster,170000
98,38.082500000002085,-2.5675000000000456,0.1530329436063766,0.7229346868361886,0.11862713098526,2183.157875061035,485,72.75,17.636363636363637,136.40625,AC three-phase mini-grid,2425000
99,40.2575000000032,1.0824999999998766,0.1925119757652282,0.7121565786479762,0.1191006302833557,719.9229831695557,160,24.0,5.818181818181818,45.0,AC three-phase mini-grid,800000
100,37.80250000000194,-2.092500000000056,0.2533675730228424,0.5846877720683084,0.119131900370121,733.6849517822266,163,24.45,5.927272727272727,45.84374999999999,AC three-phase mini-grid,815000
101,34.092500000000044,-0.9925000000000792,0.3273244202136993,0.6293150720244036,0.1197406277060508,9350.934059143066,2078,311.7,75.56363636363636,584.4374999999999,AC three-phase mini-grid,10390000
102,39.372500000002745,1.4724999999998682,0.0698818862438201,0.4975104965233973,0.1201051995158195,280.28285026550293,62,9.299999999999999,2.2545454545454544,17.437499999999996,AC three-phase mini-grid,310000
103,36.45750000000125,0.8574999999998814,0.3412478268146515,0.5698450410799676,0.1204550042748451,1988.0662202835083,442,66.3,16.07272727272727,124.31249999999999,AC three-phase mini-grid,2210000
104,41.28250000000372,3.932499999999816,0.3407033383846283,0.718980987968767,0.1217461749911308,2614.418876647949,581,87.14999999999999,21.127272727272725,163.40624999999997,AC three-phase mini-grid,2905000
105,38.707500000002405,3.497499999999826,0.2292603850364685,0.6952165562342617,0.1219370290637016,406.25608944892883,90,13.5,3.272727272727273,25.3125,AC three-phase mini-grid,450000
106,35.88250000000096,3.457499999999827,0.2668407559394836,0.6567734489030802,0.1224102303385734,735.1920375823975,163,24.45,5.927272727272727,45.84374999999999,AC three-phase mini-grid,815000
107,40.782500000003466,1.3974999999998698,0.0842534899711608,0.5053619844208346,0.1235028505325317,108.46831917762756,24,3.5999999999999996,0.8727272727272727,6.749999999999999,DC cluster,120000
108,38.53250000000232,-0.7975000000000834,0.2925420105457306,0.6731217613694833,0.1236262470483779,449.6636509895325,100,15.0,3.6363636363636362,28.125,AC three-phase mini-grid,500000
109,34.38250000000019,4.557499999999804,0.252350240945816,0.7086128255522126,0.1244821175932884,325.4937789440155,72,10.799999999999999,2.6181818181818177,20.249999999999996,AC three-phase mini-grid,360000
110,39.432500000002776,-3.79250000000002,0.323660284280777,0.646037978604302,0.1268204599618911,1889.5679683685303,420,63.0,15.272727272727273,118.125,AC three-phase mini-grid,2100000
111,36.88250000000147,0.5574999999998878,0.3346439003944397,0.6235457942468399,0.1269001960754394,605.1872301101685,134,20.099999999999998,4.872727272727272,37.68749999999999,AC three-phase mini-grid,670000
112,37.23250000000165,0.4374999999998903,0.0351620949804782,0.5493446245621061,0.1278128176927566,257.4037890434265,57,8.549999999999999,2.0727272727272723,16.031249999999996,AC three-phase mini-grid,285000
113,39.45750000000279,-1.7925000000000622,0.0189493466168642,0.4765498834715104,0.1278791725635528,40.9168758392334,9,1.3499999999999999,0.3272727272727272,2.5312499999999996,DC cluster,45000
114,39.90750000000302,-3.442500000000027,0.192221388220787,0.6295698552249099,0.1293065547943115,4290.23184967041,953,142.95,34.65454545454545,268.03124999999994,AC three-phase mini-grid,4765000
115,35.482500000000755,3.982499999999815,0.318040132522583,0.6063406491232065,0.1305644810199737,282.0563840866089,63,9.45,2.2909090909090906,17.718749999999996,AC three-phase mini-grid,315000
116,37.48250000000178,2.007499999999857,0.1868721395730972,0.6849763797836311,0.1306069940328598,172.6658959388733,38,5.7,1.3818181818181818,10.6875,DC cluster,190000
117,38.65750000000238,1.0074999999998782,0.0983684509992599,0.5698440302645114,0.1310581117868423,88.98307240009308,20,3.0,0.7272727272727273,5.625,DC cluster,100000
118,40.48250000000331,-2.417500000000049,0.2625222504138946,0.6241006447707678,0.1316977143287658,866.5504102706909,193,28.95,7.018181818181818,54.28124999999999,AC three-phase mini-grid,965000
119,40.00750000000307,-0.6925000000000856,0.13945072889328,0.6535497321288586,0.1321285516023636,209.13048458099365,46,6.8999999999999995,1.6727272727272726,12.937499999999998,DC cluster,230000
120,38.082500000002085,-1.5425000000000677,0.2966752052307129,0.6412711235648239,0.132170632481575,1605.6927223205566,357,53.55,12.98181818181818,100.40624999999999,AC three-phase mini-grid,1785000
